frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
184,person,0.76,3,360,262,427,441,,,,,,
185,person,0.77,3,366,263,430,440,,,,,,
186,person,0.74,3,372,260,434,438,,,,,,
187,person,0.75,3,379,257,439,440,,,,,,
188,person,0.75,3,382,257,443,440,,,,,,
189,person,0.78,3,386,256,448,438,,,,,,
190,person,0.75,3,392,256,452,437,,,,,,
191,person,0.73,3,394,262,458,437,,,,,,
192,person,0.74,3,397,269,465,439,,,,,,
193,person,0.74,3,398,270,468,438,,,,,,
194,person,0.77,3,400,275,472,438,,,,,,
195,person,0.72,3,400,269,474,438,,,,,,
196,person,0.73,3,401,267,476,438,,,,,,
197,person,0.74,3,404,270,476,437,,,,,,
198,person,0.73,3,409,270,478,436,,,,,,
199,person,0.75,3,414,269,478,435,,,,,,
200,person,0.75,3,419,270,478,432,,,,,,
201,person,0.73,3,424,267,480,432,,,,,,
202,person,0.74,3,428,263,484,431,,,,,,
203,person,0.73,3,431,258,486,430,,,,,,
204,person,0.31,3,434,260,487,428,,,,,,
205,person,0.75,3,436,261,488,429,,,,,,
206,person,0.76,3,437,262,491,430,,,,,,
207,person,0.76,3,439,266,493,431,,,,,,
208,person,0.71,3,443,273,495,432,,,,,,
209,person,0.63,3,444,275,498,432,,,,,,
210,person,0.66,3,446,275,501,432,,,,,,
211,person,0.71,3,449,276,503,430,,,,,,
212,person,0.6,3,452,276,506,429,,,,,,
213,person,0.61,3,456,263,511,429,,,,,,
214,person,0.69,3,458,262,514,427,,,,,,
215,person,0.73,3,460,263,517,426,,,,,,
216,person,0.69,3,463,263,520,426,,,,,,
217,person,0.6,3,468,263,523,427,,,,,,
218,person,0.39,3,472,268,524,425,,,,,,
219,person,0.65,3,474,269,527,423,,,,,,
220,person,0.6,3,476,272,530,422,,,,,,
221,person,0.62,3,478,273,535,423,,,,,,
222,person,0.72,3,477,275,540,423,,,,,,
